"X.U.FEFF.Comment","text_tokens","V3"
"AFP CONFIA tengo una duda, si estoy desempleado, pero cumplo los requisitos, puedo aplicar a este  eneficio de anticipo?Gracias. "," ","afp confia tener unir dudar , si estar desempleado , pero cumplir el requerir , poder aplicar a este eneficio de anticipar ? gracia ."
"AFP CONFIA muchas gracias, muy amable. "," ","afp confia mucho gracia , muy amable ."
"Gaby C Melara  "," ","gaby c melar"
"Me pueden enviar mi estado de cuenta?"," ","me poder enviar mi estar de contar ?"
"Qué requisitos debo tener para jubilarme"," ","qué requerir deber tener parar jubilarme"
"Yo necesito saber  cuanto son los años cotizados q tengo  con exactitud  xq en el anticipo se lo piden y en el estado de cuenta no dice los años exactos como puedo saber"," ","yo necesitar saber cuanto ser el año cotizar q tener con exactitud xq en el anticipar se el pedir y en el estar de contar no decir el año exacto comer poder saber"
"AFP CONFIA ok lo are "," ","afp confia ok el arar"
"Cual es el numero de whatssap??"," ","cual ser el numerar de whatssap ? ?"
"He ingresado ese mismo numero y no me sale "," ","haber ingresar ese mismo numerar y no me salar"
"Sra.afp.confia.puedo ir alas oficinas a firmar la Sobrevivencia.estuve hablando por teléfono y nunca me contestaron.lo quise hacer por messenger y no pude hacerlo. Y en este mes me toca firmar."," ","sra.afp.confia.puedo ir ala oficina a firmar el sobrevivencia.estuve hablar por teléfono y nunca me contestaron.lo querer hacer por messenger y no poder hacerlo . y en este mes me tocar firmar ."
"Yo estoy registrada y me mandaban el estado de cuenta cada 3 meses Pero este año no me lo an mandado Me puede explicar xq"," ","yo estar registrar y me mandar el estar de contar cada 3 mes pero este año no me el an mandar me poder explicar xq"
"Hola buenos días yo que por motivo de la pandemia desde marzo del año pasado estoy sin trabajar puedo retirar un anticipo de mis ahorros"," ","hola bueno día yo que por motivar de el pandemia desde marzo del año pasar estar sin trabajar poder retirar uno anticipar de mi ahorro"
"Como puedo hácer para solicitar mi anticipó del 25%."," ","comer poder hácer parar solicitar mi anticipar del 25 % ."
"AFP CONFIA. Muchas gracias ya la mandé la solicitud. El problema qué el formulario qué complete, no piden el número de cuenta del Banco no sé cómo hácer yo Ya tengo cuenta de ahorro con el Banco agrícola cómo hago para dar mi cuenta.  Gracias"," ","afp confia . mucho gracia ya el mandar el solicitud . el problema qué el formulario qué completar , no pedir el número de contar del banco no saber cómo hácer yo ya tener contar de ahorrar con el banco agrícola cómo hacer parar dar mi contar . gracia"
"Holaaaaaa ya tengo los 55 años me dieron el estado de cuenta el año pasado pero la tarjeta del seguro no está actualizada solo eso me fa"," ","holaaaaaa ya tener el 55 año me dar el estar de contar el año pasar pero el tarjeta del seguro no estar actualizar solo ese me fa"
"Quiero mi estado de cuenta"," ","querer mi estar de contar"
"Yo quiero solicitar una constancia del de cuanto recibo mensualmente."," ","yo querer solicitar unir constancia del de cuanto recibir mensualmente ."
"He pedido una constancia de pension, ya envié datos que me pidieron y hasta hoy no han dado respuesta, y estar hablando con tessa es tedioso. Favor dar seguimiento a solicitud por favor"," ","haber pedir unir constancia de pension , ya enviar dato que me pedir y hasta hoy no haber dar respuesta , y estar hablar con tessa ser tedioso . favor dar seguimiento a solicitud por favor"
"Buenas tardes yo necesito mi estado de cuentas por favor"," ","bueno tardar yo necesitar mi estar de contar por favor"
"Yo nesesito mi estado de cuentas"," ","yo nesesito mi estar de contar"
"Jairo Repreza"," ","jairo repreza"
"Hola buen dia necesito saber los requisitos para tener un adelanto de mis ahorros"," ","hola bueno dia necesitar saber el requerir parar tener uno adelantar de mi ahorro"
"Como puedo obtener el carnet y el NUP de respaldo de la afiliación?"," ","comer poder obtener el carnet y el nup de respaldar de el afiliación ?"
"Muy buenas tardes. Me han solicitado una constancia de pago de pensión y constancia de saldo. Como hacer para obtener?"," ","muy bueno tardar . me haber solicitar unir constancia de pagar de pensión y constancia de saldar . comer hacer parar obtener ?"
"AFP CONFIA "," ","afp confia"
"Nose porque a Mi no me encuentran y e cotizado  desde que tenía 20 años y oy tengo 43 cotize 11 años y no aparezco en ninguna afp"," ","nose porque a mi no me encontrar y e cotizar desde que tener 20 año y oy tener 43 cotize 11 año y no aparecer en ninguno afp"
"Hola nesecito mi estado de cuenta xfvor"," ","hola nesecito mi estar de contar xfvor"
"AFP CONFIA hola cuanto debo de mi anticipo"," ","afp confia hola cuanto deber de mi anticipar"
"Juan José peña Barahona necesito mi estado de cuenta"," ","juan josé peña barahona necesitar mi estar de contar"
"Puedo comenzara hacer los trámites de anticipo si la edad lo cumplo en mayo..gracias de ante mano por su respuesta"," ","poder comenzar hacer el trámite de anticipar si el edad el cumplir en mayar . . gracia de ante manar por su respuesta"
"AFP CONFIA los 50 años los cumplo en mayo de este año ...puedo comenzar los trámites o tengo que esperar hasta esa fecha "," ","afp confia el 50 año el cumplir en mayar de este año . . . poder comenzar el trámite o tener que esperar hasta ese fechar"
"Necesito estado de cuenta y quiero cambiar la dirección para que me envíen la correspondencia "," ","necesitar estar de contar y querer cambiar el dirección parar que me enviar el correspondencia"
"Hola soyjoseeliseoacevedoquiermiestadodecuenta"," ","hola soyjoseeliseoacevedoquiermiestadodecuenta"
"Buenos días quisiera saber como o tener mi estado de cuenta"," ","bueno día querer saber comer o tener mi estar de contar"
"Necesito un estado de cuenta ya mande mensaje a WhatsApp y Messenger ya ratos y no ayuda en nada."," ","necesitar uno estar de contar ya mandar mensaje a whatsapp y messenger ya rato y no ayudar en nadar ."
"Me regala mi estado de cuenta"," ","me regalar mi estar de contar"
"Yo necesito saber cómo are pues ya en junio tengo que empezar a tramitar lo de mi pensión para el otro ano"," ","yo necesitar saber cómo arar pues ya en junio tener que empezar a tramitar el de mi pensión parar el otro ano"
"Quisiera mi estado de cuenta por favor"," ","querer mi estar de contar por favor"
"Hola buenos días kiero saber mi estado de cuenta por favor "," ","hola bueno día kiero saber mi estar de contar por favor"
"Y para el adelanto del porcentaje como se hace, yo cumplo todos los requisitos"," ","y parar el adelantar del porcentaje comer se hacer , yo cumplir todo el requerir"
"AFP CONFIA, como lo hago en linea?"," ","afp confia , comer el hacer en linear ?"
"AFP CONFIA, cuál?"," ","afp confia , cuál ?"
"E solicitado mi Estado de cuenta y dise que no me  encuentran registrada me disen que me atenderá un asesor  y de ahí no pasa, ya nadie me atiende, como hago?"," ","e solicitar mi estar de contar y dise que no me encontrar registrar me disen que me atender uno asesor y de ahí no pasar , ya nadie me atender , comer hacer ?"
"Gracias"," ","gracia"
"Buenas noches quiero aplicar al anticipo del 25% pero no me queda claro con respecto a que tengo que reintegrarlo antes de pensionarme,hay una cuota específica según el monto ?"," ","bueno noche querer aplicar al anticipar del 25 % pero no me quedar claro con respectar a que tener que reintegrarlo antes de pensionarme , haber unir cuota específico según el montar ?"
"Ya hice el anticipo,puedo hacer otro prestamo."," ","ya hacer el anticipar , poder hacer otro prestamo ."
"AFP CONFIA hola buenos días quiero saber si yo puedo retirar algo de lo que tengo ahorrado ahí"," ","afp confia hola bueno día querer saber si yo poder retirar algo de el que tener ahorrar ahí"
"Requisitos para un anticipo"," ","requerir parar uno anticipar"
"Yo quiero qmeden un anticipo de loq tengo ahy"," ","yo querer qmeden uno anticipar de loq tener ahy"
"Qué requisitos son para obtener el anticipo de mis ahorros??"," ","qué requerir ser parar obtener el anticipar de mi ahorro ? ?"
"Hola  el padre de mis hijos falleció  en el 2017  y yo me acavo de enterar y no se si ellos tienen derecho a una pension ellos estan  pequeños"," ","hola el padre de mi hijo fallecer en el 2017 y yo me acavo de enterar y no se si ellos tener derecho a unir pension ellos estan pequeño"
"AFP CONFIA yo junio cumplo 54 y se supone que tengo que empezar hacer mi trámite de pensión"," ","afp confia yo junio cumplir 54 y se suponer que tener que empezar hacer mi trámite de pensión"
"que diaz puedo visitar una agencia para haser los tramites de el anticipo"," ","que diaz poder visitar unir agenciar parar haser el tramitar de el anticipar"
"Cuántos años cotizados debo tener para un anticipo"," ","cuánto año cotizar deber tener parar uno anticipar"
"AFP CONFIA "," ","afp confia"
"La verdad necesito mi estado de cuenta"," ","el verdad necesitar mi estar de contar"
"De que edad se puede hacer el anticipo."," ","de que edad se poder hacer el anticipar ."
