V1;V2;V3;V4;V5
1;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
2;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
3;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
4;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
5;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
6;7.65822752616135;0.494280841818805;15.4936766272012;positive;0
7;12.9861036949509;7.65822752616135;1.69570617360074;positive;1
8;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
9;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
10;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
11;6.96508034560141;7.65822752616135;0.909489868485615;negative;1
12;6.96508034560141;7.65822752616135;0.909489868485615;negative;1
13;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
14;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
15;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
16;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
17;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
18;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
19;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
20;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
21;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
22;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
23;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
24;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
25;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
26;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
27;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
28;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
29;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
30;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
31;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
32;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
33;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
34;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
35;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
36;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
37;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
38;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
39;0.94405699625188;7.65822752616135;0.12327356337049;negative;1
40;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
41;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
42;0.94405699625188;7.65822752616135;0.12327356337049;negative;1
43;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
44;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
45;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
46;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
47;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
48;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
49;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
50;6.96508034560141;7.65822752616135;0.909489868485615;negative;1
51;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
52;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
53;0.94405699625188;7.65822752616135;0.12327356337049;negative;1
54;0.94405699625188;7.65822752616135;0.12327356337049;negative;1
55;6.96508034560141;7.65822752616135;0.909489868485615;negative;1
56;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
57;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
58;0.94405699625188;7.65822752616135;0.12327356337049;negative;1
59;6.96508034560141;7.65822752616135;0.909489868485615;negative;1
60;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
61;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
62;6.96508034560141;7.65822752616135;0.909489868485615;negative;1
63;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
64;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
65;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
66;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
67;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
68;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
69;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
70;0.94405699625188;7.65822752616135;0.12327356337049;negative;1
71;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
72;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
73;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
74;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
75;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
76;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
77;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
78;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
79;6.96508034560141;7.65822752616135;0.909489868485615;negative;1
80;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
81;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
82;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
83;6.96508034560141;0.494280841818805;14.0913419180319;positive;0
84;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
85;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
86;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
87;13.6792508755109;7.65822752616135;1.78621630511513;positive;1
88;0.94405699625188;0.494280841818805;1.90996072754516;positive;0
89;0.94405699625188;7.65822752616135;0.12327356337049;negative;1
